,translated_question,translated_context,retriever_score,ranker_score,rank,native_context,native_question
15,How are personal data classified?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.6472739,0.5462333,6,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Как классифицируются персональные данные?
16,What is a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.46899438,0.27445462,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Что такое государственная тайна?
17,What is the definition of the processing of personal data classified as a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.79445314,0.79138625,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.","Что понимается под обработкой персональных данных, составляющих государственную тайну?"
18,How is the processing of personal data classified?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.72376066,0.7209571,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Как классифицируется обработка персональных данных?
19,What is the processing of a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.6280785,0.5645633,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Что такое обработка государственной тайны?
20,How is the processing of personal data classified as a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.7792184,0.7365054,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Каким образом обработка персональных данных отнесена к государственной тайне?
21,What is classified as a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.5185733,0.42956284,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Что отнесено к государственной тайне?
22,How many processing of personal data constitutes a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.71272695,0.65038115,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Сколько обработка персональных данных составляет государственную тайну?
23,What happens to the clause?,"5) the clause has become invalid. (as amended by Federal Law No. 223-FZ of July 29, 2017)",0.5405984,0.3349945,0,5) пункт утратил силу. (в ред. Федерального закона от 29.07.2017 N 223-ФЗ),Что происходит с оговоркой?
24,What happens when the clause becomes invalid?,"5) the clause has become invalid. (as amended by Federal Law No. 223-FZ of July 29, 2017)",0.5979994,0.64913267,0,5) пункт утратил силу. (в ред. Федерального закона от 29.07.2017 N 223-ФЗ),"Что происходит, когда пункт становится недействительным?"
25,What happens to the clause in the clause?,"5) the clause has become invalid. (as amended by Federal Law No. 223-FZ of July 29, 2017)",0.5347759,0.34756935,0,5) пункт утратил силу. (в ред. Федерального закона от 29.07.2017 N 223-ФЗ),Что происходит с оговоркой в ​​оговорке?
26,Which clause has become invalid?,"5) the clause has become invalid. (as amended by Federal Law No. 223-FZ of July 29, 2017)",0.6929306,0.6858205,0,5) пункт утратил силу. (в ред. Федерального закона от 29.07.2017 N 223-ФЗ),Какой пункт стал недействительным?
27,What is the purpose of the Federal Law?,"The purpose of this Federal Law is to ensure the protection of the rights and freedoms of a person and citizen in the processing of his personal data, including the protection of the rights to privacy, personal and family secrets.",0.7071215,0.64040035,2,"Целью настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных, в том числе защиты прав на неприкосновенность частной жизни, личную и семейную тайну.",На что направлен Федеральный закон?
28,What is the main goal of the Federal Law?,"The purpose of this Federal Law is to ensure the protection of the rights and freedoms of a person and citizen in the processing of his personal data, including the protection of the rights to privacy, personal and family secrets.",0.60768116,0.54626554,3,"Целью настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных, в том числе защиты прав на неприкосновенность частной жизни, личную и семейную тайну.",Какова основная цель Федерального закона?
29,What are the rights to privacy?,"The purpose of this Federal Law is to ensure the protection of the rights and freedoms of a person and citizen in the processing of his personal data, including the protection of the rights to privacy, personal and family secrets.",0.5819133,0.49889687,8,"Целью настоящего Федерального закона является обеспечение защиты прав и свобод человека и гражданина при обработке его персональных данных, в том числе защиты прав на неприкосновенность частной жизни, личную и семейную тайну.",Каковы права на неприкосновенность частной жизни?
30,What are the basic concepts used for the purposes of this Federal Law?,"For the purposes of this Federal Law, the following basic concepts are used:",0.9377908,0.9558181,0,В целях настоящего Федерального закона используются следующие основные понятия:,Какие основные понятия используются для целей настоящего Федерального закона?
31,What are the basic concepts used in this Federal Law?,"For the purposes of this Federal Law, the following basic concepts are used:",0.9374729,0.9352369,0,В целях настоящего Федерального закона используются следующие основные понятия:,Какие основные понятия используются в настоящем Федеральном законе?
32,What is the definition of personal data?,1) personal data - any information relating directly or indirectly to a specific or identifiable natural person (subject of personal data);,0.90155894,0.8439931,0,"1) персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);",Каково определение персональных данных?
33,What is the definition of a subject of personal data?,1) personal data - any information relating directly or indirectly to a specific or identifiable natural person (subject of personal data);,0.832998,0.78409183,0,"1) персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);",Каково определение субъекта персональных данных?
34,What is the subject of personal data?,1) personal data - any information relating directly or indirectly to a specific or identifiable natural person (subject of personal data);,0.82376766,0.6642537,0,"1) персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);",Что является субъектом персональных данных?
35,"What is the meaning of the term ""subject of personal data""?",1) personal data - any information relating directly or indirectly to a specific or identifiable natural person (subject of personal data);,0.7872294,0.72941524,0,"1) персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);",Что означает термин «субъект персональных данных»?
36,What is the term for information relating to a person?,1) personal data - any information relating directly or indirectly to a specific or identifiable natural person (subject of personal data);,0.6572433,0.45271596,0,"1) персональные данные - любая информация, относящаяся к прямо или косвенно определенному или определяемому физическому лицу (субъекту персональных данных);","Как называется информация, относящаяся к человеку?"
37,What is the subject of personal data for distribution allowed to process?,"1.1) personal data permitted by the subject of personal data for distribution - personal data, access to an unlimited number of persons to which is provided by the subject of personal data by giving consent to the processing of personal data permitted by the subject of personal data for distribution in the manner prescribed by this Federal Law; (as amended by Federal Law No. 519-FZ of December 30, 2020)",0.7699091,0.621958,3,"1.1) персональные данные, разрешенные субъектом персональных данных для распространения, - персональные данные, доступ неограниченного круга лиц к которым предоставлен субъектом персональных данных путем дачи согласия на обработку персональных данных, разрешенных субъектом персональных данных для распространения в порядке, предусмотренном настоящим Федеральным законом; (в ред. Федерального закона от 30.12.2020 N 519-ФЗ)",Какие субъекты персональных данных для распространения разрешены к обработке?
38,What is the subject of personal data for distribution?,"1.1) personal data permitted by the subject of personal data for distribution - personal data, access to an unlimited number of persons to which is provided by the subject of personal data by giving consent to the processing of personal data permitted by the subject of personal data for distribution in the manner prescribed by this Federal Law; (as amended by Federal Law No. 519-FZ of December 30, 2020)",0.684733,0.60138786,0,"1.1) персональные данные, разрешенные субъектом персональных данных для распространения, - персональные данные, доступ неограниченного круга лиц к которым предоставлен субъектом персональных данных путем дачи согласия на обработку персональных данных, разрешенных субъектом персональных данных для распространения в порядке, предусмотренном настоящим Федеральным законом; (в ред. Федерального закона от 30.12.2020 N 519-ФЗ)",Что является предметом персональных данных для распространения?
39,Who is the subject of personal data for distribution?,"1.1) personal data permitted by the subject of personal data for distribution - personal data, access to an unlimited number of persons to which is provided by the subject of personal data by giving consent to the processing of personal data permitted by the subject of personal data for distribution in the manner prescribed by this Federal Law; (as amended by Federal Law No. 519-FZ of December 30, 2020)",0.68941903,0.5561406,0,"1.1) персональные данные, разрешенные субъектом персональных данных для распространения, - персональные данные, доступ неограниченного круга лиц к которым предоставлен субъектом персональных данных путем дачи согласия на обработку персональных данных, разрешенных субъектом персональных данных для распространения в порядке, предусмотренном настоящим Федеральным законом; (в ред. Федерального закона от 30.12.2020 N 519-ФЗ)",Кто является субъектом персональных данных для распространения?
40,What is the subject of personal data for distribution able to access by giving consent to the processing of?,"1.1) personal data permitted by the subject of personal data for distribution - personal data, access to an unlimited number of persons to which is provided by the subject of personal data by giving consent to the processing of personal data permitted by the subject of personal data for distribution in the manner prescribed by this Federal Law; (as amended by Federal Law No. 519-FZ of December 30, 2020)",0.78638124,0.69245654,9,"1.1) персональные данные, разрешенные субъектом персональных данных для распространения, - персональные данные, доступ неограниченного круга лиц к которым предоставлен субъектом персональных данных путем дачи согласия на обработку персональных данных, разрешенных субъектом персональных данных для распространения в порядке, предусмотренном настоящим Федеральным законом; (в ред. Федерального закона от 30.12.2020 N 519-ФЗ)","К чему может получить доступ субъект персональных данных для распространения, дав согласие на обработку?"
41,What is the definition of an operator?,"2) operator - a state body, municipal body, legal entity or individual, independently or jointly with other persons organizing and (or) carrying out the processing of personal data, as well as determining the purposes of processing personal data, the composition of personal data to be processed, actions (operations) committed with personal data;",0.7469147,0.8003044,0,"2) оператор - государственный орган, муниципальный орган, юридическое или физическое лицо, самостоятельно или совместно с другими лицами организующие и (или) осуществляющие обработку персональных данных, а также определяющие цели обработки персональных данных, состав персональных данных, подлежащих обработке, действия (операции), совершаемые с персональными данными;",Каково определение оператора?
42,What is the definition of processing of personal data?,"3) processing of personal data - any action (operation) or a set of actions (operations) performed using automation tools or without using such tools with personal data, including collection, recording, systematization, accumulation, storage, clarification (updating, changing), extraction, use, transfer (distribution, provision, access), depersonalization, blocking, deletion, destruction of personal data;",0.8030203,0.77734727,1,"3) обработка персональных данных - любое действие (операция) или совокупность действий (операций), совершаемых с использованием средств автоматизации или без использования таких средств с персональными данными, включая сбор, запись, систематизацию, накопление, хранение, уточнение (обновление, изменение), извлечение, использование, передачу (распространение, предоставление, доступ), обезличивание, блокирование, удаление, уничтожение персональных данных;",Каково определение обработки персональных данных?
43,What is the term for any action performed using automation tools?,"3) processing of personal data - any action (operation) or a set of actions (operations) performed using automation tools or without using such tools with personal data, including collection, recording, systematization, accumulation, storage, clarification (updating, changing), extraction, use, transfer (distribution, provision, access), depersonalization, blocking, deletion, destruction of personal data;",0.5305174,0.40524444,0,"3) обработка персональных данных - любое действие (операция) или совокупность действий (операций), совершаемых с использованием средств автоматизации или без использования таких средств с персональными данными, включая сбор, запись, систематизацию, накопление, хранение, уточнение (обновление, изменение), извлечение, использование, передачу (распространение, предоставление, доступ), обезличивание, блокирование, удаление, уничтожение персональных данных;","Как называется любое действие, выполняемое с помощью средств автоматизации?"
44,Personal data is processed with the help of computer technology;,4) automated processing of personal data - processing of personal data with the help of computer technology;,0.83586234,0.68195724,0,4) автоматизированная обработка персональных данных - обработка персональных данных с помощью средств вычислительной техники;,Персональные данные обрабатываются с помощью компьютерных технологий;
45,What is the term for automated processing of personal data?,4) automated processing of personal data - processing of personal data with the help of computer technology;,0.77561253,0.7038126,0,4) автоматизированная обработка персональных данных - обработка персональных данных с помощью средств вычислительной техники;,Какой срок автоматизированной обработки персональных данных?
46,What is the purpose of dissemination of personal data?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.75326765,0.7356424,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",Какова цель распространения персональных данных?
47,Who is the purpose of a dissemination of personal data?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.76853055,0.7404479,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",Кто является целью распространения персональных данных?
48,What is the definition of a person who discloses personal data to an indefinite circle of persons?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.73359936,0.6293667,1,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;","Как определяется лицо, раскрывающее персональные данные неопределенному кругу лиц?"
49,What is the term for actions aimed at disclosing personal data to an indefinite circle of persons?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.8238537,0.760936,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;","Какой срок действия, направленного на раскрытие персональных данных неопределенному кругу лиц?"
50,What is the definition of dissemination of personal data?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.7724227,0.77496547,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",Каково определение распространения персональных данных?
51,What is the definition of a dissemination of personal data?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.76734847,0.77371144,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;",Каково определение распространения персональных данных?
52,What is the action aimed at disclosing personal data to an indefinite circle of persons?,5) dissemination of personal data - actions aimed at disclosing personal data to an indefinite circle of persons;,0.8318694,0.7724606,0,"5) распространение персональных данных - действия, направленные на раскрытие персональных данных неопределенному кругу лиц;","Что представляет собой действие, направленное на раскрытие персональных данных неопределенному кругу лиц?"
53,6) provision of personal data - actions aimed at disclosing personal data to a certain person or certain circle of persons;,6) provision of personal data - actions aimed at disclosing personal data to a certain person or a certain circle of persons;,0.99939317,0.99898565,0,"6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;","6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;"
54,What is the definition of the provision of personal data?,6) provision of personal data - actions aimed at disclosing personal data to a certain person or a certain circle of persons;,0.8056032,0.7756405,1,"6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;",Каково определение предоставления персональных данных?
55,What is the definition of the term for the provision of personal data?,6) provision of personal data - actions aimed at disclosing personal data to a certain person or a certain circle of persons;,0.7869121,0.75926983,1,"6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;",Каково определение срока предоставления персональных данных?
56,What is the action aimed at disclosing personal data to a certain person or certain circle of persons?,6) provision of personal data - actions aimed at disclosing personal data to a certain person or a certain circle of persons;,0.8194133,0.7593078,0,"6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;","Что представляет собой действие, направленное на раскрытие персональных данных определенному лицу или определенному кругу лиц?"
57,What is the definition of a provision of personal data?,6) provision of personal data - actions aimed at disclosing personal data to a certain person or a certain circle of persons;,0.79096824,0.7601486,1,"6) предоставление персональных данных - действия, направленные на раскрытие персональных данных определенному лицу или определенному кругу лиц;",Каково определение предоставления персональных данных?
58,What is the term for temporary suspension of processing of personal data?,7) blocking of personal data - temporary suspension of the processing of personal data (except when processing is necessary to clarify personal data);,0.75600094,0.55303085,0,"7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",На какой срок может быть временно приостановлена ​​обработка персональных данных?
59,How many times is it necessary to block the processing of personal data?,7) blocking of personal data - temporary suspension of the processing of personal data (except when processing is necessary to clarify personal data);,0.66995275,0.5955303,1,"7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",Сколько раз необходимо блокировать обработку персональных данных?
60,What is the term for blocking of personal data?,7) blocking of personal data - temporary suspension of the processing of personal data (except when processing is necessary to clarify personal data);,0.8123392,0.78876007,0,"7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",На какой срок блокируются персональные данные?
61,Personal data is blocked temporarily if it is necessary to clarify personal data;,7) blocking of personal data - temporary suspension of the processing of personal data (except when processing is necessary to clarify personal data);,0.7339358,0.6465874,0,"7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",Персональные данные блокируются временно в случае необходимости уточнения персональных данных;
62,What is the term for blocking of processing of personal data?,7) blocking of personal data - temporary suspension of the processing of personal data (except when processing is necessary to clarify personal data);,0.8413021,0.7889665,0,"7) блокирование персональных данных - временное прекращение обработки персональных данных (за исключением случаев, если обработка необходима для уточнения персональных данных);",На какой срок блокируется обработка персональных данных?
63,What is the term for the destruction of personal data?,"8) destruction of personal data - actions, as a result of which it becomes impossible to restore the content of personal data in the information system of personal data and (or) as a result of which material carriers of personal data are destroyed;",0.8104592,0.64481187,0,"8) уничтожение персональных данных - действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных;",Какой срок уничтожения персональных данных?
64,What is the term for destruction of personal data?,"8) destruction of personal data - actions, as a result of which it becomes impossible to restore the content of personal data in the information system of personal data and (or) as a result of which material carriers of personal data are destroyed;",0.8126184,0.6455793,0,"8) уничтожение персональных данных - действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных;",Какой срок уничтожения персональных данных?
65,What is the action that makes it impossible to restore the content of personal data in the information system of personal data?,"8) destruction of personal data - actions, as a result of which it becomes impossible to restore the content of personal data in the information system of personal data and (or) as a result of which material carriers of personal data are destroyed;",0.7425142,0.75062245,0,"8) уничтожение персональных данных - действия, в результате которых становится невозможным восстановить содержание персональных данных в информационной системе персональных данных и (или) в результате которых уничтожаются материальные носители персональных данных;",Какое действие делает невозможным восстановление содержания персональных данных в информационной системе персональных данных?
